,Unnamed: 0,Majority.protein.IDs,Protein.names,Gene.names,L3_4.old.L.OAF,L3_4.old.A.OAF,L3_4.old.P.OAF,L3_4.old.R.OAF,L3_4.old.L.IAF,L3_4.old.R.IAF,L3_4.old.L.IAF_NP,L3_4.old.A.IAF_NP,L3_4.old.P.IAF_NP,L3_4.old.R.IAF_NP,L3_4.old.NP,L3_4.Young.L.OAF,L3_4.young.A.OAF,L3_4.young.P.OAF,L3_4.young.R.OAF,L3_4.young.L.IAF,L3_4.young.R.IAF,L3_4.young.L.IAF_NP,L3_4.young.A.IAF_NP,L3_4.young.P.IAF_NP,L3_4.young.R.IAF_NP,L3_4.young.NP,L4_5.old.L.OAF,L4_5.old.A.OAF,L4_5.old.P.OAF,L4_5.old.R.OAF,L4_5.old.L.IAF,L4_5.old.R.IAF,L4_5.old.L.IAF_NP,L4_5.old.A.IAF_NP,L4_5.old.P.IAF_NP,L4_5.old.R.IAF_NP,L4_5.old.NP,L4_5.young.L.OAF,L4_5.young.A.OAF,L4_5.young.P.OAF,L4_5.young.R.OAF,L4_5.young.L.IAF,L4_5.young.R.IAF,L4_5.young.L.IAF_NP,L4_5.young.A.IAF_NP,L4_5.young.P.IAF_NP,L4_5.young.R.IAF_NP,L4_5.young.NP,L5_S1.old.L.OAF,L5_S1.old.A.OAF,L5_S1.old.P.OAF,L5_S1.old.R.OAF,L5_S1.old.L.IAF,L5_S1.old.R.IAF,L5_S1.old.L.IAF_NP,L5_S1.old.A.IAF_NP,L5_S1.old.P.IAF_NP,L5_S1.old.R.IAF_NP,L5_S1.old.NP,L5_S1.young.L.OAF,L5_S1.young.A.OAF,L5_S1.young.P.OAF,L5_S1.young.R.OAF,L5_S1.young.L.IAF,L5_S1.young.R.IAF,L5_S1.young.L.IAF_NP,L5_S1.young.A.IAF_NP,L5_S1.young.P.IAF_NP,L5_S1.young.R.IAF_NP,L5_S1.young.NP,Type
450,451,Q9NR16,Scavenger receptor cysteine-rich type 1 protein M160,CD163L1,22.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
451,452,Q9NNX6,CD209 antigen,CD209,27.0851,26.6118,,,27.8005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NABA_ECM_AFFILIATED
452,453,Q5ZPR3,CD276 antigen,CD276,,,,,22.9923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
453,454,P28906,Hematopoietic progenitor cell antigen CD34,CD34,,25.4025,,26.3033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9887,,,,,,,,,,nonMatrisome
454,455,P16671,Platelet glycoprotein 4,CD36,25.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
455,456,P16070,CD44 antigen,CD44,28.1308,27.6567,25.6151,27.6959,25.4445,24.5331,,,,,23.4264,,26.2441,,,,,,,,,,27.1041,,26.1348,,,,,,25.1453,,24.5469,26.1044,,,,,,,,,,,,,,26.3551,,,,,,,,,24.7748,,,,,,,,,,nonMatrisome
456,457,Q08722,Leukocyte surface antigen CD47,CD47,24.9299,24.7125,,,,,,,,,,25.6813,26.1691,27.565,27.0221,,,,,,,,25.91,,27.0354,26.1684,,,,,,,,26.2057,26.3339,,26.3775,,,,,,,,25.9797,25.4482,,24.8476,,,,,,,,26.4514,,,25.9783,,,,,,,,nonMatrisome
457,458,P08174,Complement decay-accelerating factor,CD55,24.8071,26.0641,22.5812,24.0442,24.5362,,,,,,25.1239,,24.6048,,,,,,,,27.0162,26.2557,,,25.436,,25.7203,,25.6562,,,,,,,,,,,25.394000000000002,,,,,,25.604,26.3139,,,,25.5625,,,,,,,,,,,24.9985,26.7411,26.9114,25.4581,25.3089,nonMatrisome
458,459,P13987,CD59 glycoprotein,CD59,25.9546,25.6467,,25.7625,,,,,,24.5135,,25.6893,26.4508,27.4835,26.7272,25.7847,,,,,,,26.346,25.6228,,,,,,,,,,,,,,,,,,,,,,25.7869,,26.2132,,,,,,,,26.1383,,26.1742,25.8128,,,,,,,,nonMatrisome
459,460,O43866,CD5 antigen-like,CD5L,28.8301,29.3158,29.4422,27.8471,31.7022,30.9189,30.1298,30.7232,30.4171,30.0976,31.1002,28.3085,,,,,,,26.0167,,24.8424,,27.7154,27.075,28.1473,27.1582,25.7903,26.3974,29.8066,28.9464,31.0136,29.3441,30.6217,,,,,,,,,,,25.7466,25.623,24.3202,24.8341,28.5204,26.5213,,,,,,,,,,,,,24.5361,25.1505,,,29.03,nonMatrisome
460,461,P08962,CD63 antigen,CD63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6644,,,,,,,,,nonMatrisome
461,462,P34810,Macrosialin,CD68,22.8357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
462,463,P04233,HLA class II histocompatibility antigen gamma chain,CD74,,23.9506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
463,464,P60033,CD81 antigen,CD81,27.2275,26.6823,26.4196,25.5991,,25.6421,,,,,25.221,26.4782,27.305999999999997,27.7002,27.9174,25.8831,,25.7824,,,,26.0455,26.2495,25.543000000000003,,,,,,,,,,27.2734,25.7781,,26.6538,,,,,,,,25.9129,26.2766,26.8243,26.838,,,,,,,26.379,27.4092,26.9549,26.3745,26.8805,,,,,,,,nonMatrisome
464,465,Q9UIB8,SLAM family member 5,CD84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
465,466,P21926,CD9 antigen,CD9,26.1711,25.0813,26.155,25.4718,26.5251,,,25.6088,,,25.956,26.6378,27.358,28.618000000000002,28.1506,27.5522,27.3092,28.241999999999997,26.2066,30.1959,28.1533,27.7354,27.4675,27.3923,27.5185,27.8051,26.9033,,25.7243,26.0996,24.8937,,25.1886,27.243000000000002,27.9949,28.0656,,27.1715,27.2763,27.5644,26.2904,,,27.8948,27.6406,27.8498,25.9403,25.8736,,,,26.8533,,,,27.4599,26.9398,28.5353,26.9258,25.7418,26.855,,,,,28.1217,nonMatrisome
466,467,Q9NPY3,Complement component C1q receptor,CD93,,,,24.3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
467,468,P48960,CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta,CD97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
468,469,P14209,CD99 antigen,CD99,,24.9184,,26.4355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
469,470,Q16543,"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed",CDC37,26.6486,26.5332,,26.6237,,,,,,,,,,,,,,,,,,,25.7644,,,,,,,,,,,,,,,,,,,,,,,,,25.4458,,,,,,,,,,,,,,,,,,,nonMatrisome
470,471,P60953,Cell division control protein 42 homolog,CDC42,26.7959,27.3648,25.9174,26.2034,24.7995,25.9185,,,,,24.2186,26.39,26.6637,26.6055,25.6111,24.5145,25.4089,,,,,26.6036,26.0674,26.4453,27.3585,,,,,,25.559,,,,26.008000000000003,25.8662,24.2099,,,,,,,,,26.6216,25.2979,26.6573,25.715,,,,,,,26.6698,25.3995,26.4816,26.2588,,,,24.4927,,,,nonMatrisome
471,472,P12830,Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3,CDH1,26.9157,25.1144,28.9233,,28.1313,29.6927,27.1541,27.9028,29.6867,29.3036,28.6227,29.4744,27.8047,,28.7678,30.388,30.5552,30.503,30.5037,30.8101,31.1498,30.8417,28.4194,28.6621,29.3079,31.0957,29.0715,30.4748,27.3558,29.1584,27.5391,28.3653,28.314,,26.463,27.0208,28.0172,29.6365,28.1156,29.4298,29.6637,28.0281,29.2349,28.8802,31.0811,29.439,28.5974,27.6821,30.6205,28.2021,29.1108,28.0075,29.3018,27.3019,29.2284,28.1092,28.5698,29.8639,29.3793,29.0466,30.1904,30.3848,30.094,30.8565,31.6217,30.1857,nonMatrisome
472,473,P55287,Cadherin-11,CDH11,,24.2847,,23.2385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
473,474,P55290,Cadherin-13,CDH13,26.5065,27.16,,26.8913,24.1268,,,,,,25.2358,26.5133,27.2552,,27.2947,25.4166,26.1159,26.3241,,25.0627,25.9155,27.1107,27.0142,,,,26.4415,,,,,,,28.5743,26.8534,,27.3028,,,27.919,,,,24.7642,,25.4035,,27.5858,,,,,,,,26.2635,26.4085,24.9831,26.1573,,,26.6417,,27.8754,,27.6879,nonMatrisome
474,475,P33151,Cadherin-5,CDH5,,,,24.7444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
475,476,Q9BYE9,Cadherin-related family member 2,CDHR2,,,,,,23.8116,,,,23.3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
476,477,Q00537,Cyclin-dependent kinase 17,CDK17,28.2783,29.4308,25.8681,27.9177,26.36,26.7405,24.5043,,26.5406,,26.7864,27.7964,29.2968,28.7537,28.5889,28.1628,25.9488,27.4892,28.3853,25.333000000000002,27.9661,28.2729,29.1535,25.2355,,26.855,,,24.9638,26.4536,25.7059,,,29.3139,28.1454,27.8637,28.8556,28.0256,26.9792,,,27.5322,28.5142,28.226,,26.2825,25.6441,29.1269,26.8723,,,28.5305,,27.131999999999998,,26.4652,29.0336,28.5199,28.0565,26.9502,26.794,27.8528,28.147,,26.613000000000003,27.4463,nonMatrisome
477,478,Q15078,"Cyclin-dependent kinase 5 activator 1;Cyclin-dependent kinase 5 activator 1, p35;Cyclin-dependent kinase 5 activator 1, p25",CDK5R1,,25.1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
478,479,Q4KMG0,Cell adhesion molecule-related/down-regulated by oncogenes,CDON,,,,,,,23.0062,,,,23.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
479,480,Q15517,Corneodesmosin,CDSN,,,,,,,,,,,,,,28.3512,,,25.0984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
480,481,Q9UKY7,Protein CDV3 homolog,CDV3,22.35,22.7373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
481,482,Q9NZK5,Adenosine deaminase CECR1,CECR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
482,483,P09093;P08861,Chymotrypsin-like elastase family member 3A;Chymotrypsin-like elastase family member 3B,CELA3A;CELA3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1492,,,,,,,,,,,,,,,,,,,,
483,484,Q9HCU4,Cadherin EGF LAG seven-pass G-type receptor 2,CELSR2,,,26.7268,,26.6529,26.7369,25.1,,,,,,,,,,,,,,,,,26.0798,29.2724,,,,,,28.5705,,27.4249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
484,485,Q8WUJ3,Cell migration-inducing and hyaluronan-binding protein,CEMIP,,24.1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
485,486,P23141,Liver carboxylesterase 1,CES1,27.118000000000002,26.7077,,27.1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7461,,,,,,,,,,,,,,,,,,,nonMatrisome
486,487,O00748,Cocaine esterase,CES2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8375,,,,,,,,,,,,,,,,,,,nonMatrisome
487,488,P41208,Centrin-2,CETN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6285,,,,,,,,,,,,,,,,,,,nonMatrisome
488,489,P11597,Cholesteryl ester transfer protein,CETP,,,,,,,24.9167,,,,24.5198,,,,,,,,,,,,,,,,,,25.4129,,25.4774,,26.6285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
489,490,P00751,Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment,CFB,32.8699,33.1056,33.9164,32.7059,34.9876,34.314,34.7101,34.5561,34.4483,34.4892,34.6889,31.0527,31.0088,31.6409,30.3924,31.9719,31.8326,32.2502,32.2896,31.933000000000003,32.1099,32.1399,31.8393,32.2697,32.1321,32.1183,33.2213,33.1336,33.7777,33.5312,33.5097,33.6986,33.7812,30.7737,30.8632,30.2807,30.8579,31.3853,32.0188,31.8863,32.2857,31.829,32.4541,32.074,30.9916,31.6404,31.5758,32.1055,31.0049,31.8354,31.798000000000002,31.6469,32.3833,32.2939,32.5639,30.8452,30.3927,31.9423,31.5747,31.3461,31.888,31.7043,31.9279,32.4417,32.3414,32.0579,nonMatrisome
490,491,P00746,Complement factor D,CFD,29.6975,29.2411,28.3845,29.5118,28.8842,29.6035,28.4377,27.857,28.1282,28.9641,28.9041,29.2625,30.233,28.0673,29.2155,28.254,27.3658,27.1915,27.8589,26.862,25.7032,27.6272,30.1425,30.3196,29.1607,30.4662,29.6413,29.9176,28.3588,28.9746,28.7008,28.7492,28.0085,30.5499,29.8285,24.7576,29.9101,28.267,27.3273,27.3567,29.3503,26.8424,28.4603,27.8637,30.533,30.735,28.721,29.5966,29.4529,29.673000000000002,29.0974,30.273000000000003,28.7263,28.3736,28.5552,29.6165,29.2536,28.4578,28.8373,26.8548,27.5456,28.6611,27.8912,26.2713,,,nonMatrisome
491,492,P08603,Complement factor H,CFH,33.4228,33.7414,34.0045,33.1382,35.4062,34.6591,34.2257,34.6323,34.2979,33.9746,34.9132,34.0094,30.1759,29.1297,29.8496,30.7323,30.5217,31.2294,31.5051,31.1574,31.2285,31.4128,32.2385,32.0363,32.4542,32.3053,32.2645,32.4238,33.6576,33.3646,34.0385,33.1686,34.2326,30.4783,30.2894,25.9924,30.3706,29.1252,30.4015,31.1399,31.1213,29.7209,30.9673,31.3385,31.7392,31.4616,31.3043,32.9315,30.1808,30.5455,30.8507,31.16,31.9779,30.7248,31.3072,30.465,30.3345,30.8826,30.3118,30.8305,31.5122,31.3865,30.9441,31.5368,31.6233,31.6193,nonMatrisome
492,493,Q03591,Complement factor H-related protein 1,CFHR1,27.3476,28.6793,29.7043,27.0099,30.6286,30.3196,30.193,28.9283,29.7276,30.1096,31.1778,25.7734,,,,26.5231,,,,,,25.8679,,27.3454,28.1026,,27.7159,27.8965,29.9211,29.7539,28.2899,29.4172,29.0948,,,,,,,,26.8968,,21.5738,,,,26.1751,28.7405,,,,,27.3334,,27.0842,26.3694,,,,,,,,,,,nonMatrisome
493,494,P36980,Complement factor H-related protein 2,CFHR2,26.215999999999998,26.8713,28.1404,25.8633,28.8426,27.7545,28.6182,28.8442,28.8321,28.0467,28.5901,26.2258,,,,,,,,,,,26.3525,26.6604,,25.2942,27.5708,,27.5718,28.0843,28.4499,27.4663,28.5924,,,,,,,,,,,,,,25.0367,26.2989,,,,,,,,,,,,,,,,,,,nonMatrisome
494,495,Q02985,Complement factor H-related protein 3,CFHR3,,,26.3425,,,26.3262,,,,,,,,,,,,,,,,,,,,,,,,,26.5505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
495,496,Q92496,Complement factor H-related protein 4,CFHR4,,,,,,,,,23.2626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
496,497,Q9BXR6,Complement factor H-related protein 5,CFHR5,26.6164,28.1695,29.6026,,29.4967,29.0909,27.6051,30.0288,28.8136,28.3283,28.6899,29.3416,,,,,,28.7973,,,,,26.1637,27.4923,,,,,27.4851,,29.5843,27.8046,29.0807,,,,,,,,,,,,,27.9233,,27.0938,,27.27,27.2878,,,,,26.6388,,,,,,,,,,,nonMatrisome
497,498,P05156,Complement factor I;Complement factor I heavy chain;Complement factor I light chain,CFI,29.0378,29.8226,30.307,28.8395,31.9003,31.4952,32.0238,31.4107,31.8979,31.4097,32.2337,30.0512,25.3833,,24.0124,,26.496,,26.5943,,,,28.1426,29.4292,29.0475,28.6445,30.6766,30.1171,31.1678,31.1267,31.0297,30.8561,31.4662,,24.1755,,22.8371,24.6204,,26.4038,,,23.7289,25.808000000000003,25.1948,27.4833,27.5522,28.8082,25.4214,27.4717,28.3575,26.6346,28.5485,28.03,28.7522,27.0443,25.2489,27.0563,26.8862,26.0607,26.5757,26.6287,,,,26.7099,nonMatrisome
498,499,P23528,Cofilin-1,CFL1,30.7778,31.1133,27.6711,31.2524,26.4147,28.0058,25.5252,26.135,26.1505,25.1926,24.6281,28.0398,29.1683,29.0934,29.1208,27.8261,26.2088,27.7033,,27.3653,27.8294,28.5019,30.3742,28.7992,29.8499,28.5954,27.1577,,26.1603,25.7554,27.9847,,26.5189,30.2916,28.8877,28.3449,30.7155,27.5901,28.3613,28.6586,28.464000000000002,28.4844,28.3393,,30.115,29.5247,28.7938,31.1431,28.714000000000002,28.3749,27.8628,24.2893,26.5445,,27.5583,29.857,29.5466,29.015,30.0113,27.2687,27.175,27.675,28.0385,26.6213,27.4751,25.1568,nonMatrisome
499,500,Q9Y281,Cofilin-2,CFL2,28.6194,25.4989,,30.0508,23.7344,,,,,,,,24.671,,25.39,23.5237,23.5765,26.7295,,,,26.0149,26.0141,,25.5222,,,,,,,,,26.2558,,,,,,,,,,,,,,25.9005,,,,,,,,26.3471,26.2918,,25.5621,,,,26.9059,,,,nonMatrisome
500,501,P27918,Properdin,CFP,25.7538,26.4038,27.7301,24.5361,27.0166,27.8018,26.136999999999997,28.5013,26.7484,26.3213,26.1154,27.5915,,,,,,,,,,,26.2892,26.0497,,,25.1623,,25.0672,,26.3354,,25.7949,,,,,,,,,,,,,,,25.6661,,,,,,,,,,,,,,,,,,,nonMatrisome
501,502,Q99674,Cell growth regulator with EF hand domain protein 1,CGREF1,25.6311,,,24.695,,,26.1463,,,25.5568,25.1275,25.2836,,,,27.0147,,26.3247,,,,26.5364,,,,,,,,,,,,,,,,25.6176,25.8286,,,,,26.6772,,,26.5303,,,,,26.1744,,,27.1207,,,,25.8431,27.0315,25.8181,,,,,,nonMatrisome
502,503,O15335,Chondroadherin,CHAD,34.3365,31.1543,34.3108,28.9406,36.2519,35.3251,35.8727,34.1881,33.5098,35.3447,34.347,37.7823,38.5136,37.528,36.7101,38.0385,37.63,37.4493,36.8225,37.0497,37.0037,37.5954,36.6674,37.6494,35.8669,36.5861,37.5592,37.126999999999995,36.014,36.8954,35.0298,35.5674,35.095,36.178000000000004,38.9153,37.2271,37.041,37.7271,37.1756,38.17,38.0304,37.9317,38.1195,37.1939,37.4739,37.3291,36.1569,34.3335,36.19,36.2126,35.6883,37.8205,34.8567,36.0652,36.4449,37.1022,37.1985,37.4108,37.635,37.1772,37.3793,37.583,37.1188,37.5196,37.433,37.5938,NABA_PROTEOGLYCANS
503,504,Q6NUI6,Chondroadherin-like protein,CHADL,24.2516,25.5231,25.4984,,26.5872,26.8527,26.389,26.7829,26.3481,27.4466,26.348000000000003,27.2741,27.1804,26.0908,,27.8781,27.9272,28.7435,28.5828,28.5151,28.3726,27.3517,26.6937,27.5113,27.1691,28.3441,28.1922,27.3652,26.7812,27.3887,26.7336,27.9861,27.2344,,27.7073,,26.6982,27.9995,28.1469,28.5779,29.0362,28.4573,28.7313,28.6744,26.3929,27.8838,27.0595,,27.9053,28.1629,27.5997,27.2299,27.0786,28.2806,26.7193,27.6324,25.2125,25.9694,27.256,28.3746,28.1624,28.7388,27.4245,28.5948,28.6272,28.7527,NABA_PROTEOGLYCANS
504,505,Q9Y6H1;Q5T1J5,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 2;Putative coiled-coil-helix-coiled-coil-helix domain-containing protein CHCHD2P9, mitochondrial",CHCHD2;CHCHD2P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,506,Q9NX63,MICOS complex subunit MIC19,CHCHD3,26.7849,26.4148,,27.548000000000002,,,,,,,,,,,25.5869,,,,,,,,,,,,,,,,,,,,,,25.6486,,,,,,,,,,,,,,,,,,,25.3605,,,,,,,,,,,nonMatrisome
506,507,Q8N4Q1,Mitochondrial intermembrane space import and assembly protein 40,CHCHD4,,,,25.2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
507,508,Q3L8U1;Q9HCK8;Q9P2D1,Chromodomain-helicase-DNA-binding protein 9;Chromodomain-helicase-DNA-binding protein 8;Chromodomain-helicase-DNA-binding protein 7,CHD9;CHD8;CHD7,25.6784,25.9785,,27.2915,23.97,,,,,,23.8041,27.6572,26.6147,27.1935,28.1965,25.1711,26.0749,25.3367,,,,,,25.8191,27.1147,27.1164,,26.8758,,25.9563,,,,28.4909,27.1636,30.3542,28.1984,,,,,,,,28.6924,26.7257,26.3781,27.0793,,,,,,,,28.0476,27.2979,,27.7401,,,,,,,,
508,509,P10645,Chromogranin-A;Vasostatin-1;Vasostatin-2;EA-92;ES-43;Pancreastatin;SS-18;WA-8;WE-14;LF-19;Catestatin;AL-11;GV-19;GR-44;ER-37;GE-25;Serpinin-RRG;Serpinin;p-Glu serpinin precursor,CHGA,,,,,23.3088,,,,,,23.0721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
509,510,P36222,Chitinase-3-like protein 1,CHI3L1,28.2287,27.9427,27.2537,27.5578,28.250999999999998,28.3943,29.5328,28.4656,28.3131,29.2207,28.8701,27.9998,25.1988,25.0188,,27.7681,26.8156,27.6399,28.0404,28.1107,28.2799,27.5483,27.1696,27.3586,,27.191,28.9819,28.7509,28.1346,28.7011,27.8071,28.2042,27.8487,,27.711,,,,,27.6051,,,,25.5323,27.2218,28.7351,29.1083,28.4463,29.2471,29.4959,29.5734,30.2975,29.4198,29.9375,30.3469,,,27.0821,,,,,,,,,nonMatrisome
510,511,Q15782,Chitinase-3-like protein 2,CHI3L2,,25.3953,26.268,25.7911,26.8662,26.58,28.7338,28.3534,28.0653,27.982,29.2767,,,,26.5261,26.1175,,26.8198,,28.3185,28.0669,26.7462,25.0887,26.2249,,24.9645,28.1511,,28.5092,27.5399,28.011,26.6484,28.6274,,,,,,26.7,,24.7838,,,25.3293,25.7003,,,,26.7698,27.1518,27.2307,28.3547,29.0154,28.2297,28.5912,,,,,,,,27.1761,,,27.3332,nonMatrisome
511,512,Q9BWS9,Chitinase domain-containing protein 1,CHID1,24.3516,24.706,25.796999999999997,24.2257,25.5099,25.5831,24.9386,,23.8419,25.5491,25.0807,,,,,26.0252,,26.4358,25.0377,25.3292,,26.5293,25.0344,26.2606,26.3177,26.38,25.3285,,24.555,26.1005,26.2059,25.9452,,,,,26.1103,,,,24.7693,24.7935,24.6675,25.4976,26.6865,25.9327,26.5339,25.171999999999997,26.9698,26.5103,26.6688,26.3699,26.2079,,26.4797,,,,,,,,26.2687,,26.0265,25.5093,nonMatrisome
512,513,O00533,Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein,CHL1,,,,,,,23.0411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
513,514,O43633,Charged multivesicular body protein 2a,CHMP2A,24.9061,24.2293,,24.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6306,,,,,,,,,,,,,,,,,,,nonMatrisome
514,515,Q9BY43,Charged multivesicular body protein 4a,CHMP4A,,,,24.4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
515,516,Q9H444,Charged multivesicular body protein 4b,CHMP4B,23.6995,24.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
516,517,Q9NZZ3,Charged multivesicular body protein 5,CHMP5,22.438000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
517,518,Q96FZ7,Charged multivesicular body protein 6,CHMP6,22.1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
518,519,Q99653,Calcineurin B homologous protein 1,CHP1,,,,25.1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
519,520,Q8IZ52,Chondroitin sulfate synthase 2,CHPF,,,25.0733,,24.2767,25.333000000000002,24.9113,,25.4849,25.4481,24.8845,25.5655,23.6458,,,26.646,25.7833,26.3868,27.0764,26.4366,26.1467,26.1833,25.5377,25.794,,26.2405,26.5092,26.5617,24.8077,26.1431,,25.4938,,,25.2174,,,25.6329,,26.3785,27.8545,,,26.8741,26.1495,25.3543,,,26.5154,25.7989,26.0475,25.9784,,26.1659,25.976,26.3042,,,25.0411,,,,26.9659,27.041,,27.0711,nonMatrisome
520,521,Q9H2X0,Chordin,CHRD,,23.9665,26.2087,,26.4053,26.7173,27.0993,27.0589,26.684,27.3574,26.5372,27.0388,25.8007,26.9706,26.2313,29.1662,28.2851,28.2669,28.6443,27.6159,27.719,27.9998,25.622,26.6906,,27.5595,27.7323,28.7551,26.9267,26.6991,26.651999999999997,27.2796,27.2374,,27.0837,,27.2618,28.4785,29.3422,28.2548,28.1274,27.7356,28.9796,27.9604,26.1757,26.1962,26.9474,24.4853,27.1556,27.7682,28.0511,28.5419,27.7663,28.645,27.8462,,,27.2217,26.8946,,,28.069000000000003,27.7668,28.1373,28.583000000000002,26.2966,NABA_SECRETED_FACTORS
